Algoritm,Iterationer,X^2,PVärde,Gräns värde,Signifikant,Kort0_Std,Kort1_Std,Kort2_Std,Kort3_Std,Kort4_Std,Kort5_Std,Kort6_Std,Kort7_Std,Kort8_Std,Kort9_Std,Kort10_Std,Kort11_Std,Kort12_Std,Kort13_Std,Kort14_Std,Kort15_Std,Kort16_Std,Kort17_Std,Kort18_Std,Kort19_Std,Kort20_Std,Kort21_Std,Kort22_Std,Kort23_Std,Kort24_Std,Kort25_Std,Kort26_Std,Kort27_Std,Kort28_Std,Kort29_Std,Kort30_Std,Kort31_Std,Kort32_Std,Kort33_Std,Kort34_Std,Kort35_Std,Kort36_Std,Kort37_Std,Kort38_Std,Kort39_Std,Kort40_Std,Kort41_Std,Kort42_Std,Kort43_Std,Kort44_Std,Kort45_Std,Kort46_Std,Kort47_Std,Kort48_Std,Kort49_Std,Kort50_Std,Kort51_Std,Kort0_Medelvärde,Kort1_Medelvärde,Kort2_Medelvärde,Kort3_Medelvärde,Kort4_Medelvärde,Kort5_Medelvärde,Kort6_Medelvärde,Kort7_Medelvärde,Kort8_Medelvärde,Kort9_Medelvärde,Kort10_Medelvärde,Kort11_Medelvärde,Kort12_Medelvärde,Kort13_Medelvärde,Kort14_Medelvärde,Kort15_Medelvärde,Kort16_Medelvärde,Kort17_Medelvärde,Kort18_Medelvärde,Kort19_Medelvärde,Kort20_Medelvärde,Kort21_Medelvärde,Kort22_Medelvärde,Kort23_Medelvärde,Kort24_Medelvärde,Kort25_Medelvärde,Kort26_Medelvärde,Kort27_Medelvärde,Kort28_Medelvärde,Kort29_Medelvärde,Kort30_Medelvärde,Kort31_Medelvärde,Kort32_Medelvärde,Kort33_Medelvärde,Kort34_Medelvärde,Kort35_Medelvärde,Kort36_Medelvärde,Kort37_Medelvärde,Kort38_Medelvärde,Kort39_Medelvärde,Kort40_Medelvärde,Kort41_Medelvärde,Kort42_Medelvärde,Kort43_Medelvärde,Kort44_Medelvärde,Kort45_Medelvärde,Kort46_Medelvärde,Kort47_Medelvärde,Kort48_Medelvärde,Kort49_Medelvärde,Kort50_Medelvärde,Kort51_Medelvärde
Ten pile shuffle,1,747.3018998561223,4.6506916022952446e-155,16.918977604620448,Ja,8.914682446814387,11.34839347980835,12.267402501801483,13.28440597288778,14.744304778192614,15.737986194848364,15.84730579905769,14.427195509812218,14.056613590060794,14.355612883709439,14.985060961823054,15.30878852970718,15.223147844928684,15.029566403876782,14.868777701310208,14.806673576446089,14.993297538029223,15.08923829424044,15.051362211856157,14.987725874058777,14.971177368658507,14.987616331904865,14.99029334914057,15.01324156137327,15.003210034638805,14.987375013805194,14.990816022700828,15.008055291681528,15.017074380632023,14.997438477902257,14.970292642393437,14.974920062215157,14.990637104420914,15.060442555813916,15.089214493414184,14.967236035986149,14.757355412975992,14.782126360123682,15.174297082096313,15.330783424205274,15.320575112804901,14.877047073117483,14.177069639132394,13.862781774182913,14.111741563325836,16.636267724800735,15.85285378809568,14.322531949650909,12.575542416298815,11.492727935950692,10.549054793872179,8.385731255890821,8.825181765013697,17.777808354110874,24.646945855265184,28.337232739249547,28.972160556530305,27.85942931018561,26.60500846492443,20.053638378428296,24.570180072028812,26.645655185150982,26.75198664081017,25.948249453627604,25.308154030843106,25.20254163203743,24.52323021516299,25.76091174931511,25.88325514821313,25.5912334164435,25.36476467510081,25.350396158463386,25.463649767599346,25.403062763566965,25.53615569304645,25.48718441222643,25.444042847908396,25.45124295872195,25.47845076492135,25.50787391879829,25.438729953519868,25.378095238095238,25.546201865361528,25.453709483793517,25.56095699818389,25.55297380490658,25.310434635392618,25.02781420260412,25.258361190630097,26.58887985963616,25.616223720257334,25.481478129713423,24.826969864869024,24.14041462738942,24.472334164435004,26.794198294702497,31.29239511189091,23.339401914611997,22.474582140548527,21.891052420968386,23.1062815895589,27.251865053713793,34.11049650629482,42.336522301228186
Ten pile shuffle,10,8.639984016448455,0.47114797255955065,16.918977604620448,Nej,15.008025746999467,15.003194671787067,15.00334022517339,15.004871045308557,15.003009476833578,15.015416361914795,15.004900647554871,15.006223892295107,15.008312172269163,15.0098065937595,15.00457045765382,15.006361878496374,15.013070880574714,15.008037984714493,15.00896697131444,15.015644032896196,15.006157380870786,15.01187027077725,15.011234514379478,15.005948299900616,15.00017713848556,15.007757989281611,15.014458335286749,15.004204790121811,15.000504418934906,15.003195038523687,15.009454055851952,15.013258406846614,15.010358809321396,15.008899696924079,15.00182357794132,15.012331854865208,15.019527141435821,15.009682061706089,15.014580118862447,15.005454503596965,15.00481042917003,15.013564427867115,15.011083410115644,15.005368609830157,15.009535420585449,15.014275774901318,15.005009318658745,15.013358309664456,15.007967944564786,15.00776149714397,15.005901638679337,15.009603406606406,15.00981145339607,15.005630277895836,15.00974608613384,15.004959872152435,25.515696432419123,25.495563763967127,25.516336996336996,25.497341090282266,25.503881860436483,25.499488718564347,25.490733524178903,25.49965339982147,25.510229014682796,25.50112906701142,25.506320066488133,25.486586942469295,25.499059316034106,25.510716286514604,25.49173731030874,25.489490257641517,25.488397512851293,25.501213716255734,25.49808107858528,25.490971773324713,25.51493674392834,25.493920337365715,25.497167482377566,25.50179887339551,25.48683565733986,25.504648013051373,25.504329424077323,25.515398774894575,25.496558315633944,25.4908107858528,25.520478960815094,25.49640256102441,25.507433434912425,25.507983193277312,25.518278696093823,25.497716009480715,25.50326284359898,25.477000030781543,25.48847261981716,25.494095176532152,25.48846861821652,25.49511189091021,25.48652045433558,25.487780650721827,25.498542493920645,25.495630559916275,25.5068005663804,25.51004463323791,25.50236740850186,25.510635946686367,25.494204451011175,25.513736263736263
Ten pile shuffle,11,11.472215385079632,0.24472346058076885,16.918977604620448,Nej,15.004294284214579,15.006910924551399,15.001523155648366,15.009748977509085,15.00559051106923,15.00656739880325,15.007813444981942,15.011828699432938,15.009705602222706,15.004941010956122,15.002683262175324,15.012186688309335,15.01347042642011,15.012572768010008,15.009726650534,15.008241101353711,15.009574310369874,15.006590783547315,15.004192313434675,15.010621260029415,15.008243576316517,15.001949806780363,15.000905781334227,15.003737772162532,15.010110575561194,15.011793521689604,15.004490887922776,15.007266173580016,15.008719617380576,15.012753824427117,15.009633146278093,15.009754803354275,15.009576509021862,15.009355612958942,15.02030996433167,15.007510072111243,15.009513462554928,15.005462352526562,15.000558857567885,15.014079366593892,15.007129435320978,15.013636502319898,15.007863783818353,15.005493974661189,15.007002650611055,15.010933687989814,15.006821671013707,15.005641042707904,15.011878147512169,15.010953044742529,15.006932891547926,15.014277511865194,25.489186751623727,25.50618370425093,25.496901529842706,25.514373133868933,25.49390556222489,25.49543755963924,25.4966478899252,25.501309754671098,25.504749284329115,25.511608951272816,25.490041247268138,25.493585126358237,25.49805552990427,25.499467479299412,25.511512297226584,25.515055560685813,25.49240619324653,25.486852895004155,25.500510973620216,25.505815864807463,25.51045402776495,25.50263336103672,25.499219072244284,25.514495336596177,25.49259580755379,25.509997845291963,25.50309200603318,25.49653799981531,25.513740573152337,25.489326807646137,25.487800966540462,25.50850463262228,25.500947763720873,25.498505556068583,25.491131837350324,25.500440791701298,25.49425031551082,25.4898645612091,25.504547049589068,25.517008957429127,25.502600732600733,25.49429494874873,25.501344537815125,25.49067196109213,25.510144981069352,25.496838735494197,25.503462308000124,25.498896173854156,25.488896789485025,25.49038138332256,25.499693108012437,25.49407178255918
Ten pile shuffle,12,6.685862162946967,0.6697880995240046,16.918977604620448,Nej,15.00988976670108,15.008718017428032,15.002961879853459,15.010725373061906,15.00360511960228,15.014386617646057,15.014793330343567,15.00955543404537,15.006757364308422,15.003213667668202,15.002643480848977,15.013104325584646,15.004456207200388,15.008948457914435,15.010091994088306,14.999450098153478,15.011197712961861,15.007565084021953,15.004252724628316,15.007906069049346,15.013345431522874,15.005572431148165,15.005548329917735,15.005855975767359,15.007855021333606,15.00875065401866,15.013365398797557,15.010034576251538,15.013637917483496,15.003892718189988,15.012225123285655,15.0110926695445,15.009070637144506,15.001144028742374,15.010607095534032,15.010155656822025,15.014139055138111,15.005251151084519,15.007146597868106,15.01374614251651,15.01409730754836,15.01059839530994,15.009971908361313,15.002478256310276,15.003263428147207,15.005162851323202,15.005095867232297,15.013311699783898,15.004703914074803,15.004189572179945,15.011362987890672,15.012117193509223,25.488539415766308,25.508761658509556,25.500915750915752,25.503831994336196,25.497765875581003,25.504168744420845,25.48278049681411,25.490712284913965,25.508862621971865,25.495555145134976,25.49247391264198,25.504589835934375,25.513992673992675,25.484178594514727,25.487080062794348,25.49921476282821,25.4983039369594,25.492263982516082,25.49870471265429,25.50353372118078,25.50787176409025,25.490927447902237,25.513002123926494,25.510763074460552,25.507852371717917,25.51782959337581,25.515960230245945,25.487997044971834,25.51529196293902,25.479333271770248,25.503452765721672,25.50196847969957,25.505095268876783,25.503166497368177,25.499354818850616,25.505697663680856,25.494704958906638,25.519017760950533,25.502112845138054,25.50160279496414,25.502052205497584,25.48490873272386,25.49173731030874,25.511064425770307,25.484550435558837,25.485281805029704,25.499686028257457,25.508446147689845,25.50733831994336,25.483189275710284,25.496181549542893,25.50633084002832
Ten pile shuffle,13,10.239040934678355,0.3314824786657686,16.918977604620448,Nej,15.010000015177807,15.009414001788281,15.005389125034732,15.006815321672683,15.008883136100721,15.006548237305243,15.001645361611308,15.010270863335453,15.007359181000163,15.004155171744452,15.007423501210603,15.01109530674267,15.006702475866314,15.011638450116106,15.006980244040887,15.006478887291411,15.008301274552847,15.007023247995809,15.008868709943613,15.00948101133285,15.010287255441213,15.013836863842414,15.010662724902131,15.008605353540599,15.007967090410894,15.006734216548235,15.010860968313173,15.012527849523426,15.00967774520098,15.006697707949838,15.019315931879014,15.005462814830523,15.00884784655903,15.007212738986329,15.009708462215816,15.004014031672426,15.005103392710133,15.00959972341105,15.00660634609144,15.009229349540947,15.006936469906877,15.003892553490443,15.015148759175954,15.01015767166396,15.008277353051156,15.00396368337035,15.012102830267079,15.006302001669273,15.011730325333412,15.007876600450896,15.004250267287498,15.005001664858371,25.492339397297382,25.50454335580386,25.50677532551482,25.51354511035183,25.490694431618802,25.501352233200972,25.506168621294673,25.50692246129221,25.505655800781852,25.503989903653768,25.49461753932342,25.494358974358974,25.513023978822297,25.50399944593222,25.493269923353957,25.505760458029364,25.48973066149537,25.510843414288793,25.49979376365931,25.498626219718656,25.49833594976452,25.509257549173515,25.5078031212485,25.508738264536582,25.502089758980514,25.499755902360945,25.51065687813587,25.483669467787117,25.49995382768492,25.517579339428078,25.49723397051128,25.502264290331517,25.504103487548864,25.48787976729153,25.491764090251486,25.494821620956074,25.516389324960752,25.483929879644165,25.50538246067658,25.49083910487272,25.48916489672792,25.492774340505434,25.495552682611507,25.493412749715272,25.495314741281128,25.491273124634468,25.5048745652107,25.50733093237295,25.480951765321514,25.495919598608673,25.50535075568689,25.499620771385477
Ten pile shuffle,14,10.57429264721079,0.30602049123627834,16.918977604620448,Nej,15.01279216336974,15.006902395773016,15.011480647762767,15.004312639352792,15.011022807072782,15.003693796404873,15.005089133335787,15.013399422651151,15.007364080459748,15.008717301485214,15.004063699823348,15.014222457435563,15.000072104694931,15.01210572148568,15.0029678553303,15.006876392314332,15.012130678964644,15.009528705314445,15.013509094555918,15.009418973908755,15.01113026751056,15.00650216960303,15.007295892590399,15.009655795027474,15.007640623639832,15.007615931330866,15.001691871535972,15.008056310780104,15.003803510940305,15.01322380584489,15.011241338755598,15.008929534498575,15.01150642126106,15.00310855234661,15.008305164462591,15.002747398006347,15.009419775437348,15.006496316991141,15.009603711571954,15.008660540531006,15.017122995477578,15.011299404605833,15.004089310801731,15.013767517250203,15.007783513067437,15.008912578502791,15.004035602355515,15.00778182041733,15.018137954374412,15.001270723003229,15.008245367454615,15.004326186115401,25.497377104688027,25.51200018468926,25.494092098377813,25.499635854341737,25.50769723273925,25.49633730415243,25.484417459291407,25.51522024194293,25.502365253793826,25.497001569858714,25.509465940222242,25.48996829501031,25.50862344937975,25.50099055006618,25.493967125311663,25.49299719887955,25.505403084310647,25.491829347123463,25.499717733247145,25.502364945978393,25.505250100040016,25.50172776803029,25.49942253824607,25.499545664419614,25.48393418906024,25.49622556714994,25.50697848370117,25.499888878628376,25.50303998522486,25.50413550035399,25.502376950780313,25.50968295010312,25.48899344353126,25.50782620740604,25.503002431741926,25.491839812848216,25.499982762335705,25.51368424292794,25.505322436666976,25.500347523624836,25.48895619786376,25.48445593622064,25.500330901591404,25.489543201896144,25.51119586296057,25.509738972512082,25.50027703389048,25.495029396373933,25.4898445532059,25.502818973743345,25.490578385200234,25.51255117431588
Ten pile shuffle,15,18.063807674645265,0.0344404328195557,16.918977604620448,Ja,15.012568384776754,15.006848412352197,15.002670443430922,15.007552606872617,15.01077683835159,15.003038842007134,15.010569139679006,15.013693186365904,15.01473200313093,15.012066387771076,15.010169768112174,15.00885645228239,15.011677734659404,15.007099730043473,15.016562620757504,15.005229820570307,15.005198477966928,15.007619032230338,15.005772141663517,15.00399077302556,15.006930927925644,15.01392064581239,15.007601964586623,15.009165285580295,15.00348490302261,15.013308163049935,15.004088484668598,15.004890901233331,15.009134337032373,15.010930521505312,15.005523627011264,15.016329534652026,15.006419452238216,15.009142839034851,15.005259875711745,15.001736350813722,15.005824465333435,15.01141639795759,15.008642238112063,15.009457157957883,15.002859624054306,15.00343119624124,15.01221026102885,15.010532376528655,15.011014000108545,15.00952301969931,15.003318681475786,15.010018889388682,15.00682631082194,15.005768334604232,15.006523069485599,15.011172025666063,25.503257610736604,25.505130667651677,25.50133037830517,25.499028226675286,25.487665527749563,25.50116631267892,25.493549419767906,25.49381629574907,25.49230892356943,25.50406870440484,25.51389509650014,25.509208606519532,25.504781604949674,25.502509311416876,25.50451534459938,25.4953381352541,25.502953796903377,25.513724258934342,25.505026010404162,25.490908363345337,25.49188813987133,25.5006544156124,25.49738664696648,25.495093729799613,25.50290485424939,25.490251177394036,25.50460491889063,25.495661033644225,25.482699849170437,25.502307692307692,25.51267153015052,25.49147782189799,25.506724228152798,25.50569058392588,25.500338904792688,25.499527811124448,25.496295749068857,25.49921076122757,25.50426847662142,25.48887093298858,25.508712715855573,25.49946347769877,25.49306153230523,25.496927386339152,25.513941576630653,25.506780558377198,25.489933511866283,25.48983131714224,25.50180102810355,25.49635146366239,25.510955151291284,25.49952842675532
Ten pile shuffle,2,5.830692420374093,0.7567364770331686,16.918977604620448,Nej,14.980297126803485,14.950062326041499,15.000601832456857,15.002553526212186,15.000559800928302,15.008168936775201,15.012755120642037,15.018642913523625,14.98748112104485,15.003532950592312,15.003939100294193,15.014697266632757,15.006074125649059,15.007990431945315,15.012838682233374,15.006087656758893,15.002629942823438,15.007995218347766,15.005277263590386,15.012538867586937,15.008397293783025,14.998969879179334,15.002378891083197,15.012791805984609,15.014500945528246,15.011583955796155,15.007885951091467,15.013698974767495,15.008031685909394,15.01014619794135,15.008092092034397,15.000135379771953,15.008378061746932,15.012992747397664,15.009140320171518,15.0116039768055,15.004451281803123,15.002807101605098,15.015115589480361,15.007565204336455,15.019392599475054,15.013781264924962,15.009197182820296,14.983460831545717,14.988480519166533,15.043410466946273,14.991210746417526,15.009511265107307,15.00602366372747,15.009102109363184,14.934407644560459,14.88153281994055,23.474956136300673,25.538064764367284,25.54905808477237,25.59735094037615,25.647741558161727,25.676823344722504,25.68284513805522,24.9594991842891,25.569801151229722,25.558246067657834,25.543558654230925,25.527955797703697,25.501820728291317,25.487518699787607,25.398007202881153,25.53810662726629,25.507097916089513,25.50356788869394,25.494588296857206,25.489332963954812,25.508898944193064,25.481816418875244,25.506874134269093,25.51051528303629,25.50126758395666,25.486442269215377,25.50416258811217,25.48339674331271,25.488318712100224,25.482614276479822,25.51183304090867,25.483220365069105,25.509161818573585,25.504786529996615,25.49370240403854,25.473645765998707,25.452531166312678,25.641802259365285,25.40598239295718,25.496208945116507,25.47296118447379,25.45564933665774,25.440566380398312,25.444690491581248,26.138955582232892,24.880801551389787,25.50413242219965,25.488287007110536,25.478463385354143,25.466438883245605,25.428185735832795,27.627745251946934
Ten pile shuffle,3,4.83569783099676,0.8483891817928142,16.918977604620448,Nej,15.0146969809825,15.013812137175384,15.006484775761445,15.0065142951319,15.012430811314731,15.00908129473472,15.005087783640503,15.007619960059243,15.009147337716884,15.012762327556926,15.005705128998688,15.01095530601902,15.003295175089768,15.008924661040984,15.008579152493352,15.010611872863562,15.00757655342773,15.011894365598103,15.002198863632366,15.01357032972131,15.014388153333837,15.00427894954421,15.003801642391338,15.004231662236258,15.012545348263682,15.013641786240022,15.006583079616496,15.011174455734123,15.004324585140392,15.008257687955366,15.010635674825568,15.01015348708417,15.014969204038689,15.008505389833836,15.010770362917704,15.012395730430047,15.009224292205488,15.004943656878194,15.012740002277624,14.998961891662882,15.015018604628867,15.008025764933222,15.011809981025241,15.004300084207241,15.008878805156472,15.008636668833498,15.007121817028862,15.003276134749695,15.002509589857048,14.996762943807935,15.006253317580928,15.000328278801208,25.31932157478376,25.49132422199649,25.503312709699266,25.51652753409056,25.507681534152123,25.524606457967803,25.526131683442607,25.448383353341338,25.511905685351064,25.494545202696465,25.48555699202758,25.500074491334995,25.501811801643733,25.496004863483854,25.485713362267983,25.50897035737372,25.498075230092038,25.491251885369532,25.495566842121463,25.494829931972788,25.49802690306892,25.5005017391572,25.51213223751039,25.485146058423368,25.515005694585525,25.516082740788622,25.508499399759906,25.505540062178717,25.501554467941023,25.493093852925785,25.49994982608428,25.502423123095394,25.488056145535136,25.50377043124942,25.498262689691263,25.482267368485857,25.489505032782343,25.525119278480624,25.501949702958107,25.505781081663436,25.49792409271401,25.501811801643733,25.50230923138486,25.486842429279402,25.554466709760828,25.443212977498693,25.511024101948472,25.50182011266045,25.49312832825438,25.496332686920923,25.485348600978853,25.69151537538092
Ten pile shuffle,4,5.384106938604889,0.7996222565690995,16.918977604620448,Nej,15.010121850076075,15.005245493701805,15.004128295026367,15.009833081686908,15.005494331133143,15.008831597566926,15.005651712729554,15.008548078155457,15.00651545776361,15.006800548943955,15.011758130372677,15.010964403638312,15.007863381850868,15.007320053466586,15.00399133101312,15.010467982776422,15.009756987862815,15.011128535376493,15.01597124665529,15.008426070680775,15.00867132481153,15.014837422806655,15.01378690341855,15.001312326866964,15.008526383953562,15.00629974950716,15.002867146177813,15.0081199896126,15.012962851564287,15.01097385072434,15.009985641030834,15.009531742576549,15.013799114407371,15.006264805428401,15.008385302004168,15.014100791661924,15.002578453036458,15.009315213942603,15.006201452581585,15.007345485684745,15.009862177911387,15.003151861759294,15.003456362179547,15.01729355218623,15.002522359938135,15.012305828699517,15.002997023804008,15.012048783684632,15.003738635469158,15.003393088439404,15.009707471471817,15.007899231089867,25.469156585711207,25.506290516206484,25.514740357681536,25.508057376796874,25.48983131714224,25.486463508480316,25.500714131806568,25.50389848246991,25.500127435589622,25.496059039000215,25.506534306030105,25.50417797888386,25.49278603749192,25.507301689906733,25.517011419952595,25.496537691999876,25.49889955982393,25.5030630713824,25.499552744174593,25.49142149167359,25.49713116015637,25.515768153415213,25.49919660171761,25.49612768184197,25.50798073075384,25.504842552405577,25.50202788807831,25.494063471542464,25.504528580663035,25.503003663003664,25.515440329978144,25.491573552497922,25.50052882691538,25.508864776679903,25.495142364638163,25.50206082432973,25.4933702711854,25.504189983685784,25.488844460861266,25.494815156831965,25.48905315972543,25.495522516698987,25.50795672115,25.49222211961708,25.502393264998307,25.49443346569397,25.4978594514729,25.49257980115123,25.50238249145812,25.502590882506848,25.49539200295503,25.515488349185826
